FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187d53d4470_da9,5334002,1319,Grauenhofer Weg
strassennamen.fid--3213a59_187d53d4470_daa,5334002,1320,Gustav-Freytag-Straße
strassennamen.fid--3213a59_187d53d4470_dab,5334002,1321,Gregorstraße
strassennamen.fid--3213a59_187d53d4470_dac,5334002,1323,Grindelweg
strassennamen.fid--3213a59_187d53d4470_dad,5334002,1324,Gulpener Straße
strassennamen.fid--3213a59_187d53d4470_dae,5334002,1325,Großkölnstraße
strassennamen.fid--3213a59_187d53d4470_daf,5334002,1327,Grüneck
strassennamen.fid--3213a59_187d53d4470_db0,5334002,1328,Grüner Winkel
strassennamen.fid--3213a59_187d53d4470_db1,5334002,1329,Gut Steeg
strassennamen.fid--3213a59_187d53d4470_db2,5334002,1330,Guaitastraße
strassennamen.fid--3213a59_187d53d4470_db3,5334002,1332,Habsburgerallee
strassennamen.fid--3213a59_187d53d4470_db4,5334002,1334,Hackländerstraße
strassennamen.fid--3213a59_187d53d4470_db5,5334002,1336,Händelstraße
strassennamen.fid--3213a59_187d53d4470_db6,5334002,1338,Hainbuchenstraße
strassennamen.fid--3213a59_187d53d4470_db7,5334002,1340,Hammerweg
strassennamen.fid--3213a59_187d53d4470_db8,5334002,1342,Hanbrucher Straße
strassennamen.fid--3213a59_187d53d4470_db9,5334002,1343,Hanbrucher Weg
strassennamen.fid--3213a59_187d53d4470_dba,5334002,1345,Hangstraße
strassennamen.fid--3213a59_187d53d4470_dbb,5334002,1347,Hansemannplatz
strassennamen.fid--3213a59_187d53d4470_dbc,5334002,1349,Harscampstraße
strassennamen.fid--3213a59_187d53d4470_dbd,5334002,1351,Hartmannstraße
strassennamen.fid--3213a59_187d53d4470_dbe,5334002,1353,Haselsteig
strassennamen.fid--3213a59_187d53d4470_dbf,5334002,1354,Hasencleverstraße
strassennamen.fid--3213a59_187d53d4470_dc0,5334002,1355,Hasenfeld
strassennamen.fid--3213a59_187d53d4470_dc1,5334002,1357,Hasselholzer Weg
strassennamen.fid--3213a59_187d53d4470_dc2,5334002,1358,Hauseter Weg
strassennamen.fid--3213a59_187d53d4470_dc3,5334002,1360,Heerlener Straße
strassennamen.fid--3213a59_187d53d4470_dc4,5334002,1361,Heidweg
strassennamen.fid--3213a59_187d53d4470_dc5,5334002,1363,Spaakallee
strassennamen.fid--3213a59_187d53d4470_dc6,5334002,1365,Hein-Görgen-Straße
strassennamen.fid--3213a59_187d53d4470_dc7,5334002,1366,Hein-Janssen-Straße
strassennamen.fid--3213a59_187d53d4470_dc8,5334002,1368,Heinzenstraße
strassennamen.fid--3213a59_187d53d4470_dc9,5334002,1370,Heißbergstraße
strassennamen.fid--3213a59_187d53d4470_dca,5334002,1372,Henricistraße
strassennamen.fid--3213a59_187d53d4470_dcb,5334002,1374,Herbartstraße
strassennamen.fid--3213a59_187d53d4470_dcc,5334002,1375,Hergenrather Weg
strassennamen.fid--3213a59_187d53d4470_dcd,5334002,1376,Hermann-Sudermann-Straße
strassennamen.fid--3213a59_187d53d4470_dce,5334002,1377,Hermann-Löns-Allee
strassennamen.fid--3213a59_187d53d4470_dcf,5334002,1378,Hermannstraße
strassennamen.fid--3213a59_187d53d4470_dd0,5334002,1379,Herstaler Straße
strassennamen.fid--3213a59_187d53d4470_dd1,5334002,1380,Herzogstraße
strassennamen.fid--3213a59_187d53d4470_dd2,5334002,1381,Hickelweg
strassennamen.fid--3213a59_187d53d4470_dd3,5334002,1383,Hirschgraben
strassennamen.fid--3213a59_187d53d4470_dd4,5334002,1386,Hitfelder Straße
strassennamen.fid--3213a59_187d53d4470_dd5,5334002,1388,Höfchensweg
strassennamen.fid--3213a59_187d53d4470_dd6,5334002,1389,Höhenweg
strassennamen.fid--3213a59_187d53d4470_dd7,5334002,1390,Hörnhang
strassennamen.fid--3213a59_187d53d4470_dd8,5334002,1391,Hörnstieg
strassennamen.fid--3213a59_187d53d4470_dd9,5334002,1393,Hof
